"name","Year","NumberOfThunderstormDays","MeanAnnualTemperature","lat","lon","elev","id"
"Andoya",1980,5,3.45078243517249,69.293,16.144,13.1,"010100-99999"
"Andoya",1981,1,2.28361042801107,69.293,16.144,13.1,"010100-99999"
"Andoya",1982,13,3.44927896493367,69.293,16.144,13.1,"010100-99999"
"Andoya",1983,4,3.46714182882508,69.293,16.144,13.1,"010100-99999"
"Andoya",1984,11,4.03735329692831,69.293,16.144,13.1,"010100-99999"
"Andoya",1985,2,2.92009082258717,69.293,16.144,13.1,"010100-99999"
"Andoya",1986,3,3.19727945116595,69.293,16.144,13.1,"010100-99999"
"Andoya",1987,4,2.81827825051398,69.293,16.144,13.1,"010100-99999"
"Andoya",1988,6,3.17358243553366,69.293,16.144,13.1,"010100-99999"
"Andoya",1989,6,4.29770510163241,69.293,16.144,13.1,"010100-99999"
"Andoya",1990,3,4.98607978878378,69.293,16.144,13.1,"010100-99999"
"Andoya",1991,6,4.30333450001406,69.293,16.144,13.1,"010100-99999"
"Andoya",1992,11,4.29414076061479,69.293,16.144,13.1,"010100-99999"
"Andoya",1993,2,4.08415867455582,69.293,16.144,13.1,"010100-99999"
"Andoya",1994,7,3.79126739830879,69.293,16.144,13.1,"010100-99999"
"Andoya",1995,3,3.24519735599707,69.293,16.144,13.1,"010100-99999"
"Andoya",1996,5,3.51682741992264,69.293,16.144,13.1,"010100-99999"
"Andoya",1997,5,3.90646260497164,69.293,16.144,13.1,"010100-99999"
"Andoya",1998,2,3.97580942539555,69.293,16.144,13.1,"010100-99999"
"Andoya",1999,2,4.21484725381233,69.293,16.144,13.1,"010100-99999"
"Andoya",2000,3,4.16638969227806,69.293,16.144,13.1,"010100-99999"
"Andoya",2001,7,3.79500425766407,69.293,16.144,13.1,"010100-99999"
"Andoya",2002,7,4.44184931387046,69.293,16.144,13.1,"010100-99999"
"Andoya",2003,5,4.62211428712478,69.293,16.144,13.1,"010100-99999"
"Andoya",2004,5,4.60778124459498,69.293,16.144,13.1,"010100-99999"
"Andoya",2005,3,4.61726182517314,69.293,16.144,13.1,"010100-99999"
"Andoya",2006,7,4.82377297092425,69.293,16.144,13.1,"010100-99999"
"Andoya",2007,2,4.75937081183657,69.293,16.144,13.1,"010100-99999"
"Andoya",2008,6,4.20601868955364,69.293,16.144,13.1,"010100-99999"
"Andoya",2009,3,4.35194246214377,69.293,16.144,13.1,"010100-99999"
"Andoya",2010,2,3.38917493663771,69.293,16.144,13.1,"010100-99999"
"Andoya",2011,2,5.12430414929522,69.293,16.144,13.1,"010100-99999"
"Andoya",2012,3,3.534257003391,69.293,16.144,13.1,"010100-99999"
"Andoya",2013,3,4.53496178280723,69.293,16.144,13.1,"010100-99999"
"Andoya",2014,5,4.63870047932541,69.293,16.144,13.1,"010100-99999"
"Andoya",2015,11,5.04188148020851,69.293,16.144,13.1,"010100-99999"
"Andoya",2016,0,4.65029764261767,69.293,16.144,13.1,"010100-99999"
"Andoya",2017,1,4.26045326918466,69.293,16.144,13.1,"010100-99999"
"Andoya",2018,1,4.3703628191419,69.293,16.144,13.1,"010100-99999"
"Andoya",2019,1,3.82325839532504,69.293,16.144,13.1,"010100-99999"
"Bettles",1980,5,-4.92686635716706,66.917,-151.515,193.2,"701740-26533"
"Bettles",1981,3,-2.64774305104632,66.917,-151.515,193.2,"701740-26533"
"Bettles",1982,2,-5.45875827951337,66.917,-151.515,193.2,"701740-26533"
"Bettles",1983,5,-4.93333806303939,66.917,-151.515,193.2,"701740-26533"
