"WMO post","Years of observation","Lat","Lon","Thunderstorm days per year","Data completeness"
"Kojnas ",20,64.750015,47.650013,9.1,96
"Mirnvy ",11,62.533344,113.866684,9.09090909090909,68
"Mutoraj ",9,61.316673,100.466676,9,97
"Norman Wells, N. W. T. ",20,65.283339,-126.800016,9,100
"Olonec ",12,60.983353,32.983353,8.91666666666667,87
"Alesund / Vigra ",20,62.566678,6.116669,8.75,95
"Bergen / Flesland ",20,60.283339,5.233338,8.75,96
"Tol'ka ",13,63.983353,82.083335,8.61538461538461,98
"Vendinga ",15,63.450009,47.916685,8.6,58
"Njaksimvol ",20,62.433342,60.866684,8.15,96
"Orland Iii ",20,63.700014,9.600012,8.15,98
"Curapca ",20,62.033334,132.600012,8.05,100
"Nadym ",11,65.466676,72.66668,8,98
"Muzi ",20,65.483343,64.716681,7.95,100
"NORTHWAY AIRPORT",19,62.962,-141.988,7.94736842105263,100
"Lesukonskoe ",12,64.900018,45.766682,7.91666666666667,81
"Severodvinsk ",11,64.550011,39.750015,7.90909090909091,80
"Zhigansk ",20,66.766682,123.400008,7.85,100
"Ust-Kamo ",12,60.733348,97.516677,7.83333333333333,95
"Jokioinen ",20,60.816683,23.50001,7.8,100
"Umba ",20,66.683347,34.350007,7.75,99
"Pajala",9,67.2166666666667,23.4,7.66666666666667,90
"Sosnovo",8,60.55,30.3166666666667,7.625,72
"Verdal-Reppe",20,63.7833333333333,11.6666666666667,7.6,81
"Lesogorskiy",8,61.0333333333333,28.9333333333333,7.5,72
"Verescagino ",11,64.250005,87.600012,7.45454545454545,98
"Sejmchan ",20,62.916685,152.416675,7.45,100
"Vest-Torpa Ii ",19,60.933352,10.033334,7.42105263157895,84
"Nar'Jan-Mar ",20,67.633346,53.033334,7.3,100
"Petrun ",13,66.466676,60.750015,7.23076923076923,64
"Uega ",14,60.716681,142.783349,7.21428571428571,89
"Salehard ",20,66.533344,66.66668,7.2,100
"Tura ",20,64.266672,100.233338,7.1,99
"Selbu-Stubbe",7,63.2,11.1166666666667,7,78
"Strelka Chunya ",10,61.733348,102.800016,7,94
"Igarka ",20,67.466676,86.566678,6.8,100
"Okunev Nos ",10,66.250005,52.583345,6.8,71
"Surgut ",20,61.250005,73.50001,6.65,100
"Tazovskoe ",20,67.466676,78.733348,6.65,100
"Krasnoscel'E ",20,67.350007,37.050001,6.6,100
"Murmansk ",20,68.950019,33.033334,6.6,100
"Malung",6,60.6833333333333,13.7166666666667,6.5,86
"Kreml ",10,65.033334,35.716681,6.4,66
"Pravaja Hetta ",10,65.866684,74.50001,6.4,96
"Cuovddatmohkki ",18,69.366674,24.433342,6.38888888888889,70
"Gunnarn",13,64.9666666666667,17.7,6.38461538461539,90
"RALPH M CALHOUN MEML ARPT",20,65.175,-152.107,6.25,99
"Rena Ap ",20,61.183337,11.366674,6.1,98
"Nyda ",10,66.633346,72.933352,6,97
"Teplyj Klyuch ",8,62.783349,136.850017,5.875,92
"Padun ",20,68.600012,31.850017,5.85,97
"Utti ",20,60.900018,26.933352,5.8,98
"Pitlyar ",9,65.83335,65.933352,5.77777777777778,96
"Vorkuta ",20,67.483343,64.016667,5.65,100
"Lovozero ",20,68,35.033334,5.6,100
"Tugoncani ",10,64.216671,93.800016,5.6,96
"Ozerki",9,60.2166666666667,29,5.55555555555556,71
"Yellowknife, N. W. T. ",20,62.466676,-114.450009,5.5,100
"Nera ",9,64.550011,144.400008,5.44444444444444,92
"Kondopoga ",14,62.16667,34.300006,5.42857142857143,95
"Kvikkjokk",14,66.95,17.75,5.35714285714286,71
"Krasnoselkup ",9,65.683347,82.466676,5.33333333333333,96
"Valaam ",13,61.366674,30.883351,5.30769230769231,79
"Sihcajavri ",20,68.750015,23.533344,5.3,81
"Gaddede",9,64.5,14.1333333333333,5.22222222222222,86
"Sursari / Gogland Island",9,60.0666666666667,27,5.22222222222222,71
"Nizhnyaya Pesha ",11,66.733348,47.716681,5.18181818181818,56
"Raznavolok ",11,64.566678,34.916685,5.18181818181818,52
"Korkodon ",13,64.750015,153.966686,5.15384615384615,99
"Isosaari",14,60.1,25.0666666666667,5.14285714285714,94
"Vostocnaja ",9,63.216671,139.600012,5.11111111111111,92
"Muonio",20,67.9666666666667,23.6833333333333,5.1,97
"Storlien-Storvallen M",16,63.3,12.1166666666667,5.0625,92
"Agata ",20,66.916685,93.483343,5,94
"Kautokeino ",20,69,23.033334,4.95,85
"ALLEN ARMY AIRFIELD",19,63.994,-145.721,4.94736842105263,100
"Kerbo ",12,62.700014,101.100002,4.91666666666667,94
"GULKANA AIRPORT",20,62.159,-145.459,4.85,100
"Olenek ",20,68.50001,112.433342,4.85,100
"Bodo Vi ",20,67.266672,14.350007,4.8,95
"Nordli-Holand",18,64.45,13.7166666666667,4.77777777777778,68
"Verhojansk ",20,67.550011,133.383341,4.6,99
"Ust'- Moma ",20,66.450009,143.233338,4.55,71
"Lerwick ",20,60.133336,-1.183337,4.45,100
"Jangi-Jugan ",9,66.050001,68.683347,4.44444444444444,96
"Arka ",20,60.083335,142.33334,4.25,100
"Kuzmovka ",14,62.316673,92.133336,4.21428571428571,98
"Dzalinda ",20,70.133336,113.966686,4.2,95
"Kauhava ",20,63.100002,23.033334,4.1,97
"Sodankyla ",20,67.366674,26.650013,4.1,100
"MCGRATH AIRPORT",20,62.957,-155.61,4.05,99
"Vosnesen'e",6,61.0166666666667,35.4833333333333,4,71
"Pjalica ",20,66.183337,39.533344,3.95,100
"Selagoncy ",20,66.250005,114.283339,3.9,99
"Venabu ",20,61.650013,10.116669,3.9,91
"Kjusjur ",20,70.683347,127.400008,3.85,99
"Halli ",20,61.850017,24.800016,3.75,94
"Vega-Vallsjo ",20,65.700014,11.850017,3.75,89
"Mys Konstantinovskij ",11,68.533344,55.483343,3.72727272727273,56
"MAYO",20,63.616,-135.868,3.65,99
"Zyrjanka ",20,65.733348,150.900018,3.65,100
"Innerdalen ",14,62.716681,8.766682,3.57142857142857,96
"Iema ",9,65.300006,135.800016,3.55555555555556,92
"Lahti",20,60.9666666666667,25.6333333333333,3.5,95
"Berkak-Lyngholt",9,62.8166666666667,10.0166666666667,3.33333333333333,82
"Namdalseid",9,64.25,11.2,3.33333333333333,65
"Varandey ",6,68.800016,58,3.33333333333333,96
"Sogo-Haya ",10,64.283339,126.450009,3.2,92
"Noril'sk ",9,69.33334,88.250005,3.11111111111111,75
"Oppdal-Bjorke ",20,62.600012,9.683347,3.1,91
"Haparanda",12,65.8333333333333,24.15,3.08333333333333,89
"Indiga ",15,67.683347,48.683347,3.06666666666667,91
"Abramovskij Majak ",14,66.383341,43.250005,2.92857142857143,92
"Turku",11,60.5166666666667,22.2666666666667,2.90909090909091,85
"Coppermine, N. W. T. ",20,67.816683,-115.133336,2.85,100
"Hatanga ",20,71.983353,102.466676,2.85,100
"Takle ",20,61.033334,5.383341,2.85,91
"Teriberka ",20,69.200004,35.116669,2.85,97
"Whitehorse, Y. T. ",20,60.716681,-135.066668,2.85,100
"Dzardzan ",20,68.733348,124,2.8,97
"Sojna ",20,67.883351,44.133336,2.75,96
"Zizgin ",20,65.200004,36.816683,2.75,100
"Karasjok ",15,69.466676,25.50001,2.73333333333333,94
"Zimnegorskij Majak ",15,65.466676,39.733348,2.73333333333333,93
"Snezhnogorsk ",11,68.100002,87.766682,2.72727272727273,68
"Tiksi ",20,71.583345,128.916685,2.7,100
"Kovda ",13,66.700014,32.883351,2.69230769230769,54
"Modalen Ii",9,60.8333333333333,5.95,2.66666666666667,85
"Amderma ",20,69.783349,61.650013,2.65,100
"Potapovo ",13,68.66668,86.250005,2.61538461538462,55
"Andoya ",20,69.300006,16.150003,2.6,98
"Sredne-Kolymsk ",13,67.450009,153.716681,2.53846153846154,99
"Drevsjo ",20,61.883351,12.050001,2.5,96
"Dudinka",18,69.4,86.1666666666667,2.5,78
"Trondheim / Vaernes ",20,63.466676,10.933352,2.5,96
"Omolon ",17,65.233338,160.533344,2.47058823529412,78
"Sundsvall-Harnosand Flygplats ",20,62.533344,17.450009,2.4,97
"Fokstua Ii ",20,62.116669,9.283339,2.35,94
"Karaul ",10,70.083335,83.16667,2.3,86
"Kanevka ",14,67.133336,39.66668,2.28571428571429,75
"Baker Lake A, Nu ",20,64.283339,-96.066668,2.2,100
"Cherskij ",20,68.750015,161.283339,2.2,99
"Tongulah ",10,61.916685,124.550011,2.2,92
"Eidfjord-Bu",6,60.4666666666667,6.86666666666667,2.16666666666667,76
"Jyvaskyla ",20,62.400008,25.683347,2.15,98
"Fagernes ",20,60.983353,9.233338,2.1,98
"Lesjaskog",10,62.2333333333333,8.36666666666667,2.1,72
"Roros ",20,62.566678,11.383341,2.1,95
"Tampere-Pirkkala Airport ",20,61.416675,23.616679,2.1,93
"Kilpisjarvi ",10,69.050001,20.783349,2,100
"Omastrand",6,60.2166666666667,5.98333333333333,2,61
"Rovaniemi ",20,66.566678,25.83335,2,98
"Sortland",20,68.7,15.4166666666667,1.95,99
"Bardufoss ",20,69.066668,18.533344,1.9,98
"Rustefjelbma",14,70.4,28.2,1.78571428571429,82
"Verhov'e R Lotty ",13,68.533344,28.916685,1.76923076923077,81
"Rankki ",20,60.366674,26.966686,1.75,100
