"station_names","wmo_id","ThunderstormDaysAmount","RecordCompleteness","ObservationYears","HeightASL","Lat","Lon"
"Sortavala ","22802",327,1.00025667351129,20,18,61.716681,30.716681
"Sortland","01167",44,0.99192334017796,20,3,68.7,15.4166666666667
"Sosnovo","22891",65,0.718782073212453,8,70,60.55,30.3166666666667
"Sosva ","23625",221,0.987457221081451,20,27,63.650013,62.100002
"Sredne-Kolymsk ","25206",38,0.993185212845407,13,21,67.450009,153.716681
"Storlien-Storvallen M","02206",83,0.91961332268735,16,642,63.3,12.1166666666667
"Strelka Chunya ","24802",71,0.939168377823409,10,358,61.733348,102.800016
"Stykkisholmur ","04013",1,0.967624914442163,20,8,65.083335,-22.733348
"Sula ","01228",3,0.965844767119916,20,4,63.850017,8.466676
"Sundsvall-Harnosand Flygplats ","02366",52,0.974750931629782,20,4,62.533344,17.450009
"Suntar ","24738",281,0.999298425735797,20,124,62.150003,117.650013
"Suolovuopmi","01051",2,0.435109289617486,7,374,69.5833333333333,23.5333333333333
"Suomusjarvi","02973",50,0.691050650239562,4,84,60.4,23.7666666666667
"Suomussalmi","02879",17,0.669801641586867,2,223,64.9,29.0166666666667
"Sura ","22676",358,0.999897330595483,20,66,63.583345,45.633346
"Surgut ","23849",139,0.99515742642026,20,44,61.250005,73.50001
"Sursari / Gogland Island","22897",48,0.712367430721861,9,6,60.0666666666667,27
"Svalbard Lufthavn ","01008",2,0.946019586163323,20,2,78.250005,15.466676
"SVARTEVAEG","71872",251,0.972214709435459,19,72,81.167,-91.817
"Sveg","02324",126,0.946084265651035,13,360,62.0333333333333,14.3666666666667
"Svinoy Fyr ","01205",23,0.954725918624391,20,38,62.33334,5.266672
"Svyatoj Nos","22140",11,0.541041666666667,12,12,68.15,39.75
"Syktyvkar ","23804",387,1.00044490075291,20,118,61.66668,50.783349
"Sym ","23975",325,0.977272727272727,20,85,60.350007,88.366674
"Sytomino ","23847",151,0.960814510609172,8,33,61.300006,71.300006
"Tafjord ","01218",13,0.956912491554955,20,15,62.233338,7.416675
"Takle ","01319",57,0.910845465473487,20,38,61.033334,5.383341
"TALKEETNA AIRPORT","70251",10,0.994631674826369,20,106.7,62.32,-150.095
"TALOYOAK","71914",1,0.95075973951788,20,28,69.547,-93.577
"Tampere-Pirkkala Airport ","02944",43,0.927386008046491,20,109,61.416675,23.616679
"Tarko-Sale ","23552",215,0.999452429842574,20,27,64.916685,77.816683
"Tazovskoe ","23256",139,0.999315537303217,20,8,67.466676,78.733348
"TED STEVENS ANCHORAGE INTL","70273",24,0.997825591985428,20,36.6,61.169,-150.028
"Tegyultya ","24967",123,0.993122977346278,12,171,60.466676,130
"Teplyj Klyuch ","24771",51,0.917565023956194,8,288,62.783349,136.850017
"Teriberka ","22028",61,0.972089839789089,20,29,69.200004,35.116669
"TESLIN","71045",11,0.614238137004411,18,705,60.173,-132.743
"Tiksi ","21824",55,0.999418206707734,20,8,71.583345,128.916685
"Tol'ka ","23662",128,0.979493403037092,13,34,63.983353,82.083335
"Tompo ","24671",227,0.980201916495551,20,400,63.950019,135.866684
"Tongulah ","24843",19,0.917693360711841,10,199,61.916685,124.550011
"Torsvag Fyr ","01033",5,0.929460007371913,20,21,70.250005,19.50001
"Troicko-Pecherskoe ","23711",349,0.999897330595483,20,139,62.700014,56.200004
"Troll ","89504",1,0.732706881292178,17,1290,-72,2.533344
"Tromso / Langnes ","01025",16,0.95191414462426,20,1,69.683347,18.916685
"Trondheim / Vaernes ","01271",56,0.956815626069525,20,1,63.466676,10.933352
"Tsyp-Navolok","22012",2,0.358489644392341,9,10,69.7166666666667,33.0833333333333
"Tugoncani ","23589",58,0.958590006844627,10,102,64.216671,93.800016
"TUKTOYAKTUK","71959",3,0.878198922729416,13,4.6,69.433,-133.026
"Tura ","24507",151,0.993258939683066,20,186,64.266672,100.233338
"Turcasovo ","22648",158,0.900607564607222,13,35,63.116669,39.233338
"Turku","02972",35,0.845648631029987,11,49,60.5166666666667,22.2666666666667
"Turuhansk ","23472",211,0.991786447638604,20,37,65.783349,87.983353
"Uega ","24982",97,0.889755803766973,14,398,60.716681,142.783349
"Ugut ","23946",188,0.960728952772074,9,48,60.516677,74.033334
"Uhta ","23606",310,1.00039356605065,20,149,63.550011,53.816683
"Umba ","22324",169,0.993754277891855,20,40,66.683347,34.350007
"Unskij Majak ","22541",30,0.226897355355152,12,5,64.83335,38.400008
"Ust'- Cil'Ma ","23405",250,1.00011978097194,20,70,65.433342,52.266672
"Ust'- Kulom ","23803",379,0.999349760438056,20,139,61.683347,53.683347
"Ust'- Maja ","24966",295,0.998750855578371,20,175,60.383341,134.450009
"Ust'- Moma ","24382",91,0.710044490075291,20,196,66.450009,143.233338
"Ust'- Oloj","25325",18,0.907196184155952,17,125,66.55,159.416666666667
"Ust'- Sugor ","23518",76,0.701959274469541,8,75,64.266672,57.616679
"Ust'- Usa ","23412",213,1.00037645448323,20,77,65.966686,56.916685
"Ust'-Olenek ","21711",4,0.917907255304586,11,14,73,119.866684
"Ust-Kamo ","23992",99,0.945473626574192,12,179,60.733348,97.516677
"Utti ","02966",122,0.978940162680196,20,100,60.900018,26.933352
"Vajda-Guba ","22003",14,0.439923054158035,17,7,69.933352,31.966686
"Valaam ","22805",76,0.789909638554217,13,16,61.366674,30.883351
"Valassaaret ","02910",12,0.971503477356114,20,4,63.433342,21.066668
"Vanavara ","24908",370,0.993618618618619,20,260,60.33334,102.266672
"Vanzil'- Kynak ","23966",251,0.994062286105407,20,99,60.350007,84.083335
"Varandey ","23112",21,0.958941605839416,6,5,68.800016,58
"Vardo ","01098",37,0.970489127573317,20,14,70.366674,31.100002
"Varntresk ","01147",24,0.852619091075014,19,406,65.816683,14.183337
"Vega-Vallsjo ","01108",75,0.890721425467188,20,2,65.700014,11.850017
"Vel' Mo ","23982",127,0.970354209445585,10,121,61,93.416675
"Vel'Sk ","22867",367,0.999931553730322,20,89,61.083335,42.066668
"Velikij Ustjug ","22981",90,0.480877823408624,9,98,60.766682,46.250005
"Venabu ","01380",78,0.911307113113913,20,940,61.650013,10.116669
"Vendinga ","22686",144,0.577590141487905,15,81,63.450009,47.916685
"Verdal-Reppe","01278",152,0.81288501026694,20,81,63.7833333333333,11.6666666666667
"Verescagino ","23578",87,0.980107802874743,11,26,64.250005,87.600012
"Verhnee Penzino","25538",5,0.900456204379562,13,326,64.2166666666667,164.233333333333
"Verhneimbatsk ","23678",272,0.969952087611225,20,40,63.150003,87.950019
"Verhnjaja Tojma ","22778",194,0.666432776560789,16,53,62.233338,45.016667
"Verhojansk ","24266",92,0.991204654346338,20,137,67.550011,133.383341
"Verhov'e R Lotty ","22100",24,0.81368925393566,13,115,68.533344,28.916685
"Vernadsky ","89063",3,0.634951057567253,20,11,-65.250005,-64.266672
"Vesljana ","23701",291,0.997091033538672,20,94,62.983353,50.900018
"Vest-Torpa Ii ","01374",141,0.843059971736442,19,542,60.933352,10.033334
"Vestmannaeyjar ","04048",21,0.961344969199179,20,118,63.400008,-20.283339
"Vidsel ","02154",16,0.924908738307096,20,180,65.866684,20.133336
"Vilegodskoe ","22889",133,0.555449657869013,10,69,61.116669,47.983353
"Viljujsk ","24641",184,0.99958932238193,20,107,63.766682,121.616679
"Vinnicy ","22925",145,0.912731006160164,13,90,60.633346,34.783349
"Virtaniemi","22101",23,0.384208606856309,10,118,68.9,28.45
"Volochanka","20982",6,0.539225082146769,7,40,70.9666666666667,94.5
"Vonegan ","23823",125,0.960686173853525,8,107,61.950019,64.900018
"Vorkuta ","23226",127,1.00054757015743,20,180,67.483343,64.016667
"Vorogovo ","23973",256,0.991698841698842,20,46,61.033334,89.633346
"Vosnesen'e","22829",26,0.714676702018474,6,39,61.0166666666667,35.4833333333333
"Vostocnaja ","24679",44,0.917522245037645,9,1292,63.216671,139.600012
"Vozega ","22954",500,0.999931553730322,20,178,60.466676,40.200004
"Vuktyl","23612",1,0.00592795257637939,6,97,63.8333333333333,57.4166666666667
"Vyborg ","22892",308,0.995687885010267,20,15,60.716681,28.733348
"Vytegra ","22837",286,0.417963335181591,20,59,61.016667,36.450009
"W POST-WILL ROGERS MEMORIAL AIRPORT","70026",1,0.981856996470454,20,9.5,71.283,-156.782
"WATSON LAKE","71953",23,0.986581469648562,20,687.3,60.116,-128.823
"WHALE COVE AIRPORT","71073",1,0.860150979762287,20,20,62.233,-92.6
"Whitehorse, Y. T. ","71964",58,1.00184804928131,20,703,60.716681,-135.066668
"WRIGLEY","71946",7,0.999777549623545,20,149,63.209,-123.437
"Yaksha ","23812",170,0.705223880597015,10,131,61.83335,56.866684
"Yaniskoski","22101",23,0.384208606856309,10,101,68.9666666666667,28.7666666666667
"Yanov-Stan","23463",1,0.884921622294103,9,40,65.9666666666667,84.3166666666667
"Yellowknife, N. W. T. ","71936",118,1.00184804928131,20,205,62.466676,-114.450009
"Ytteroyane Fyr ","01304",6,0.923150419257316,20,26,61.566678,4.683347
"Yuil' Sk ","23635",120,0.960515058179329,9,85,63.66668,69.600012
"Zasheek","22305",3,0.148699520876112,9,119,66.25,31.1166666666667
"Zasheyek","22214",1,0.00765362715373808,13,151,67.4166666666667,32.55
"Zeleznodorozny ","23220",10,0.715753424657534,5,116,67.83335,64.750015
"Zhigansk ","24343",162,0.99517453798768,20,93,66.766682,123.400008
"Zimnegorskij Majak ","22446",43,0.931556853440409,15,81,65.466676,39.733348
"Zizgin ","22438",62,0.999794661190965,20,18,65.200004,36.816683
"Zyrjanka ","25400",79,0.998648186173854,20,43,65.733348,150.900018
